label,height_m,receiver_distance_m,wedge_angle_deg,path_difference_m,fresnel_500hz,maekawa_500hz_db,a_weighted_db,il_50hz_db,il_63hz_db,il_80hz_db,il_100hz_db,il_125hz_db,il_160hz_db,il_200hz_db,il_250hz_db,il_315hz_db,il_400hz_db,il_500hz_db,il_630hz_db,il_800hz_db,il_1000hz_db,il_1250hz_db,il_1600hz_db,il_2000hz_db,il_2500hz_db,il_3150hz_db,il_4000hz_db,il_5000hz_db,il_6300hz_db,il_8000hz_db,il_10000hz_db
h2-d5-w360,2,5,360,0.0499,0.1454,7.195,12.915,5.448,5.789,6.148,6.491,6.846,7.255,7.644,8.055,8.507,9.009,9.511,10.070,10.691,11.314,11.979,12.764,13.517,14.309,15.167,16.089,16.977,17.920,18.914,19.855
h2-d5-w315,2,5,315,0.0499,0.1454,7.195,12.392,4.387,4.795,5.222,5.625,6.034,6.499,6.933,7.385,7.875,8.410,8.940,9.524,10.167,10.807,11.487,12.286,13.049,13.848,14.713,15.640,16.532,17.477,18.473,19.415
h2-d5-w270,2,5,270,0.0499,0.1454,7.195,11.420,2.639,3.124,3.633,4.115,4.602,5.150,5.654,6.170,6.722,7.313,7.889,8.515,9.196,9.866,10.572,11.393,12.173,12.987,13.862,14.797,15.696,16.646,17.644,18.588
h2-d10-w360,2,10,360,0.0374,0.1091,6.718,12.315,5.543,5.846,6.163,6.465,6.777,7.136,7.477,7.838,8.237,8.680,9.125,9.623,10.179,10.740,11.343,12.061,12.755,13.492,14.298,15.174,16.025,16.937,17.906,18.829
h2-d10-w315,2,10,315,0.0374,0.1091,6.718,11.896,4.617,4.986,5.368,5.726,6.089,6.499,6.882,7.280,7.713,8.187,8.658,9.178,9.755,10.332,10.950,11.680,12.384,13.129,13.942,14.823,15.678,16.593,17.564,18.489
h2-d10-w270,2,10,270,0.0374,0.1091,6.718,11.105,3.027,3.484,3.957,4.398,4.841,5.334,5.786,6.247,6.739,7.266,7.782,8.343,8.956,9.562,10.205,10.959,11.680,12.440,13.264,14.155,15.017,15.937,16.912,17.840
h2-d20-w360,2,20,360,0.0312,0.0909,6.464,11.940,5.598,5.877,6.169,6.446,6.732,7.062,7.375,7.708,8.075,8.483,8.895,9.356,9.872,10.395,10.959,11.633,12.289,12.988,13.758,14.599,15.423,16.310,17.258,18.167
h2-d20-w315,2,20,315,0.0312,0.0909,6.464,11.577,4.751,5.095,5.449,5.780,6.114,6.492,6.844,7.211,7.610,8.047,8.483,8.965,9.501,10.039,10.617,11.303,11.969,12.676,13.453,14.299,15.127,16.018,16.968,17.878
h2-d20-w270,2,20,270,0.0312,0.0909,6.464,10.884,3.263,3.699,4.146,4.561,4.974,5.433,5.853,6.280,6.735,7.224,7.702,8.224,8.795,9.361,9.963,10.673,11.356,12.078,12.867,13.723,14.559,15.455,16.410,17.323
h2-d40-w360,2,40,360,0.0281,0.0818,6.332,11.728,5.627,5.893,6.171,6.435,6.707,7.020,7.319,7.635,7.985,8.374,8.767,9.207,9.702,10.203,10.745,11.394,12.027,12.704,13.452,14.272,15.078,15.950,16.884,17.783
h2-d40-w315,2,40,315,0.0281,0.0818,6.332,11.393,4.823,5.153,5.491,5.807,6.125,6.485,6.821,7.170,7.551,7.968,8.384,8.845,9.358,9.874,10.429,11.090,11.732,12.418,13.172,13.998,14.808,15.683,16.620,17.520
h2-d40-w270,2,40,270,0.0281,0.0818,6.332,10.752,3.395,3.818,4.249,4.649,5.045,5.485,5.886,6.294,6.729,7.197,7.654,8.153,8.700,9.244,9.823,10.507,11.167,11.867,12.634,13.470,14.287,15.168,16.110,17.014
h2-d60-w360,2,60,360,0.0270,0.0788,6.288,11.653,5.637,5.898,6.171,6.430,6.697,7.005,7.299,7.609,7.953,8.336,8.722,9.155,9.642,10.135,10.669,11.309,11.934,12.604,13.343,14.156,14.955,15.821,16.750,17.645
h2-d60-w315,2,60,315,0.0270,0.0788,6.288,11.328,4.849,5.173,5.506,5.816,6.129,6.483,6.812,7.156,7.530,7.940,8.349,8.802,9.307,9.816,10.362,11.015,11.649,12.326,13.073,13.890,14.694,15.563,16.495,17.391
h2-d60-w270,2,60,270,0.0270,0.0788,6.288,10.704,3.441,3.859,4.285,4.679,5.070,5.502,5.897,6.299,6.727,7.187,7.637,8.128,8.667,9.203,9.773,10.448,11.100,11.791,12.550,13.378,14.190,15.065,16.001,16.901
h2-d80-w360,2,80,360,0.0265,0.0773,6.265,11.614,5.642,5.901,6.171,6.428,6.693,6.998,7.288,7.596,7.937,8.316,8.699,9.129,9.611,10.101,10.631,11.266,11.887,12.552,13.288,14.096,14.892,15.755,16.681,17.574
h2-d80-w315,2,80,315,0.0265,0.0773,6.265,11.294,4.862,5.183,5.513,5.821,6.131,6.481,6.808,7.148,7.519,7.925,8.331,8.780,9.281,9.786,10.328,10.976,11.606,12.279,13.021,13.835,14.636,15.501,16.431,17.325
h2-d80-w270,2,80,270,0.0265,0.0773,6.265,10.679,3.465,3.880,4.304,4.694,5.082,5.511,5.902,6.301,6.725,7.181,7.627,8.115,8.649,9.181,9.748,10.418,11.065,11.752,12.507,13.331,14.139,15.011,15.945,16.843
h2.5-d5-w360,2.5,5,360,0.1980,0.5774,10.981,16.883,6.579,7.064,7.591,8.108,8.653,9.291,9.904,10.553,11.265,12.044,12.811,13.643,14.540,15.408,16.300,17.312,18.242,19.184,20.169,21.194,22.155,23.154,24.188,25.155
h2.5-d5-w315,2.5,5,315,0.1980,0.5774,10.981,16.049,5.341,5.885,6.468,7.036,7.626,8.310,8.959,9.639,10.379,11.182,11.966,12.813,13.722,14.599,15.498,16.514,17.448,18.392,19.379,20.404,21.366,22.365,23.400,24.367
